HECoS_Code,HECoS_Label,CAH3_Code,CAH3_Label,CAH2_Code,CAH2_Label,CAH1_Code,CAH1_Label
100443,media production,24-01-05,media studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100444,media and communication studies,24-01-05,media studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100445,multimedia journalism,24-01-04,journalism,24-01,"media, journalism and communications",24,"media, journalism and communications"
100449,business economics,15-02-01,economics,15-02,economics,15,social sciences
100450,economics,15-02-01,economics,15-02,economics,15,social sciences
100451,financial economics,15-02-01,economics,15-02,economics,15,social sciences
100452,international economics,15-02-01,economics,15-02,economics,15,social sciences
100454,adult education,22-01-01,education,22-01,education and teaching,22,education and teaching
100455,childhood and youth studies,15-04-02,childhood and youth studies,15-04,health and social care,15,social sciences
100456,childhood studies,15-04-02,childhood and youth studies,15-04,health and social care,15,social sciences
100457,early childhood studies,15-04-02,childhood and youth studies,15-04,health and social care,15,social sciences
100459,education studies,22-01-01,education,22-01,education and teaching,22,education and teaching
100460,further education,22-01-01,education,22-01,education and teaching,22,education and teaching
100461,higher education,22-01-01,education,22-01,education and teaching,22,education and teaching
100462,learning support,22-01-01,education,22-01,education and teaching,22,education and teaching
100463,early years education,22-01-01,education,22-01,education and teaching,22,education and teaching
100464,primary education,22-01-01,education,22-01,education and teaching,22,education and teaching
100465,secondary education,22-01-01,education,22-01,education and teaching,22,education and teaching
100466,youth and community work,15-04-01,social work,15-04,health and social care,15,social sciences
100468,countryside management,06-01-04,rural estate management,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100469,environmental management,26-01-03,human geography,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100471,social sciences,15-01-01,social sciences (non-specific),15-01,"sociology, social policy and anthropology",15,social sciences
100473,health studies,15-04-03,health studies,15-04,health and social care,15,social sciences
100475,sports therapy,03-02-01,sport and exercise sciences,03-02,sport and exercise sciences,03,biological and sport sciences
100476,health and social care,15-04-03,health studies,15-04,health and social care,15,social sciences
100478,human geography,26-01-03,human geography,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100482,business law,16-01-01,law,16-01,law,16,law
100483,criminal justice,15-01-03,social policy,15-01,"sociology, social policy and anthropology",15,social sciences
100484,criminology,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100485,law,16-01-01,law,16-01,law,16,law
100486,policing,16-01-01,law,16-01,law,16,law
100488,international development,15-01-05,development studies,15-01,"sociology, social policy and anthropology",15,social sciences
100489,international politics,15-03-01,politics,15-03,politics,15,social sciences
100490,international relations,15-03-01,politics,15-03,politics,15,social sciences
100491,politics,15-03-01,politics,15-03,politics,15,social sciences
100493,applied psychology,04-01-02,applied psychology,04-01,psychology,04,psychology
100494,clinical psychology,04-01-04,psychology and health,04-01,psychology,04,psychology
100495,counselling,02-06-07,"counselling, psychotherapy and occupational therapy",02-06,allied health,02,subjects allied to medicine
100496,educational psychology,04-01-03,developmental psychology,04-01,psychology,04,psychology
100497,psychology,04-01-01,psychology (non-specific),04-01,psychology,04,psychology
100498,social psychology,04-01-05,others in psychology,04-01,psychology,04,psychology
100499,sport and exercise psychology,04-01-02,applied psychology,04-01,psychology,04,psychology
100501,social care,15-04-01,social work,15-04,health and social care,15,social sciences
100502,social policy,15-01-03,social policy,15-01,"sociology, social policy and anthropology",15,social sciences
100503,social work,15-04-01,social work,15-04,health and social care,15,social sciences
100505,sociology,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100507,adult education teaching,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
100508,post compulsory education and training,22-01-01,education,22-01,education and teaching,22,education and teaching
100509,higher education teaching,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
100510,early years teaching,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
100511,primary teaching,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
100512,secondary teaching,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
100513,teaching English as a foreign language,22-01-02,teacher training,22-01,education and teaching,22,education and teaching
100516,agricultural sciences,06-01-02,agricultural sciences,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100517,agriculture,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100518,animal management,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100519,equine studies,06-01-01,animal science,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100520,forestry and arboriculture,06-01-05,forestry and arboriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100522,animal behaviour,06-01-01,animal science,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100523,animal science,06-01-01,animal science,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100526,food and beverage production,06-01-08,food and beverage production,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100527,food science,06-01-07,food sciences,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100529,horticulture,06-01-03,agriculture,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100531,veterinary medicine,05-01-01,veterinary medicine and dentistry,05-01,veterinary sciences,05,veterinary sciences
100532,veterinary nursing,05-01-02,others in veterinary sciences,05-01,veterinary sciences,05,veterinary sciences
100539,broadcast engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100540,cellular pathology,02-05-04,"anatomy, physiology and pathology",02-05,medical sciences,02,subjects allied to medicine
100544,marine engineering,10-03-04,maritime technology,10-03,materials and technology,10,engineering and technology
100545,corrosion technology,10-03-02,materials technology,10-03,materials and technology,10,engineering and technology
100546,digital circuit engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100548,engineering surveying,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100549,environmental impact assessment,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100550,gemmology,10-03-01,minerals technology,10-03,materials and technology,10,engineering and technology
100551,geotechnical engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100553,integrated circuit design,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100560,musical instrument manufacture,10-03-06,others in technology,10-03,materials and technology,10,engineering and technology
100564,aerospace propulsion systems,10-01-04,aeronautical and aerospace engineering,10-01,engineering,10,engineering and technology
100565,public health engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100566,quarrying,10-03-01,minerals technology,10-03,materials and technology,10,engineering and technology
100568,ship design,10-01-05,naval architecture,10-01,engineering,10,engineering and technology
100572,tissue engineering and regenerative medicine,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
100573,water quality control,10-01-10,others in engineering,10-01,engineering,10,engineering and technology
100577,fluid mechanics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100579,structural mechanics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100580,acoustics and vibration,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100581,electrical power,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100583,architectural design,13-01-01,architecture,13-01,"architecture, building and planning",13,"architecture, building and planning"
100584,building technology,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100585,conservation of buildings,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100586,property development,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100587,drawing,25-01-02,art,25-01,creative arts and design,25,"design, and creative and performing arts"
100588,landscape studies,13-01-03,landscape design,13-01,"architecture, building and planning",13,"architecture, building and planning"
100589,painting,25-01-02,art,25-01,creative arts and design,25,"design, and creative and performing arts"
100590,garden design,13-01-03,landscape design,13-01,"architecture, building and planning",13,"architecture, building and planning"
100592,sculpture,25-01-02,art,25-01,creative arts and design,25,"design, and creative and performing arts"
100593,rural planning,13-01-04,"planning (urban, rural and regional)",13-01,"architecture, building and planning",13,"architecture, building and planning"
100594,urban studies,13-01-04,"planning (urban, rural and regional)",13-01,"architecture, building and planning",13,"architecture, building and planning"
100595,printmaking,25-01-02,art,25-01,creative arts and design,25,"design, and creative and performing arts"
100597,applied economics,15-02-01,economics,15-02,economics,15,social sciences
100599,fine art conservation,20-01-04,heritage studies,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100600,agricultural economics,15-02-01,economics,15-02,economics,15,social sciences
100601,economic policy,15-02-01,economics,15-02,economics,15,social sciences
100604,econometrics,15-02-01,economics,15-02,economics,15,social sciences
100606,economic systems,15-02-01,economics,15-02,economics,15,social sciences
100609,democracy,15-03-01,politics,15-03,politics,15,social sciences
100610,UK government/parliamentary studies,15-03-01,politics,15-03,politics,15,social sciences
100612,European Union politics,15-03-01,politics,15-03,politics,15,social sciences
100616,strategic studies,15-03-01,politics,15-03,politics,15,social sciences
100617,war and peace studies,15-03-01,politics,15-03,politics,15,social sciences
100618,comparative politics,15-03-01,politics,15-03,politics,15,social sciences
100619,applied sociology,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100621,gender studies,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100622,women's studies,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100623,men's studies,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100624,ethnicity,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100625,disability studies,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100626,religion in society,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100627,socio-economics,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100628,social theory,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100629,political sociology,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100630,typography,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100631,sociology of science and technology,15-01-02,sociology,15-01,"sociology, social policy and anthropology",15,social sciences
100632,visual communication,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100633,furniture design and making,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100636,interactive and electronic design,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100637,musicianship and performance studies,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100639,instrumental or vocal performance,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100642,music education and teaching,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100643,music and arts management,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100644,music marketing,17-01-03,marketing,17-01,business and management,17,business and management
100645,international social policy,15-01-03,social policy,15-01,"sociology, social policy and anthropology",15,social sciences
100647,public policy,15-01-03,social policy,15-01,"sociology, social policy and anthropology",15,social sciences
100648,health policy,15-01-03,social policy,15-01,"sociology, social policy and anthropology",15,social sciences
100649,welfare policy,15-01-03,social policy,15-01,"sociology, social policy and anthropology",15,social sciences
100650,conducting,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100651,education policy,15-01-03,social policy,15-01,"sociology, social policy and anthropology",15,social sciences
100652,security policy,15-01-03,social policy,15-01,"sociology, social policy and anthropology",15,social sciences
100653,health and welfare,15-04-03,health studies,15-04,health and social care,15,social sciences
100654,child care,15-04-02,childhood and youth studies,15-04,health and social care,15,social sciences
100655,community work,15-04-01,social work,15-04,health and social care,15,social sciences
100656,jazz performance,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100657,popular music performance,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100658,careers guidance,23-01-02,personal development,23-01,combined and general studies,23,combined and general studies
100659,community justice,15-04-01,social work,15-04,health and social care,15,social sciences
100661,historical performance practice,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100662,probation/after-care,15-04-01,social work,15-04,health and social care,15,social sciences
100663,physical and biological anthropology,15-01-04,anthropology,15-01,"sociology, social policy and anthropology",15,social sciences
100664,history of music,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100665,economic geography,26-01-03,human geography,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100666,urban geography,26-01-03,human geography,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100667,musicology,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100668,political geography,26-01-03,human geography,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100669,transport geography,26-01-03,human geography,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100670,environmental history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100671,cultural geography,26-01-03,human geography,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100674,ethnomusicology and world music,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100676,English law,16-01-01,law,16-01,law,16,law
100677,Northern Irish law,16-01-01,law,16-01,law,16,law
100678,Scots law,16-01-01,law,16-01,law,16,law
100680,European Union law,16-01-01,law,16-01,law,16,law
100681,public international law,16-01-01,law,16-01,law,16,law
100683,comparative law,16-01-01,law,16-01,law,16,law
100684,public law,16-01-01,law,16-01,law,16,law
100685,criminal law,16-01-01,law,16-01,law,16,law
100686,private law,16-01-01,law,16-01,law,16,law
100689,property law,16-01-01,law,16-01,law,16,law
100690,torts,16-01-01,law,16-01,law,16,law
100691,jurisprudence,16-01-01,law,16-01,law,16,law
100692,legal practice,16-01-01,law,16-01,law,16,law
100693,medical law,16-01-01,law,16-01,law,16,law
100695,music composition,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100697,directing for theatre,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100698,theatre studies,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100700,theatre production,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100702,technical theatre studies,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100703,stage management,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100704,technical stage management,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100705,theatrical wardrobe design,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100706,hair and make-up,25-01-05,others in creative arts and design,25-01,creative arts and design,25,"design, and creative and performing arts"
100707,circus arts,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100708,stage design,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100710,community theatre,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100711,choreography,25-02-04,dance,25-02,performing arts,25,"design, and creative and performing arts"
100712,dance performance,25-02-04,dance,25-02,performing arts,25,"design, and creative and performing arts"
100714,history of photography,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100716,cinematography,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100717,visual and audio effects,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100721,metal work,25-01-05,others in creative arts and design,25-01,creative arts and design,25,"design, and creative and performing arts"
100724,glass crafts,25-01-05,others in creative arts and design,25-01,creative arts and design,25,"design, and creative and performing arts"
100725,silversmithing and goldsmithing,25-01-05,others in creative arts and design,25-01,creative arts and design,25,"design, and creative and performing arts"
100726,clock and watchmaking,25-01-05,others in creative arts and design,25-01,creative arts and design,25,"design, and creative and performing arts"
100728,surface decoration,25-01-05,others in creative arts and design,25-01,creative arts and design,25,"design, and creative and performing arts"
100729,scriptwriting,19-01-05,creative writing,19-01,English studies,19,language and area studies
100730,poetry writing,19-01-05,creative writing,19-01,English studies,19,language and area studies
100731,professional writing,19-01-05,creative writing,19-01,English studies,19,language and area studies
100734,computer architectures,11-01-01,computer science,11-01,computing,11,computing
100735,operating systems,11-01-01,computer science,11-01,computing,11,computing
100736,human-computer interaction,11-01-01,computer science,11-01,computing,11,computing
100737,multimedia computing science,11-01-01,computer science,11-01,computing,11,computing
100738,e-business,11-01-07,business computing,11-01,computing,11,computing
100739,beauty therapy,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100741,high performance computing,11-01-01,computer science,11-01,computing,11,computing
100743,systems thinking,17-01-09,others in business and management,17-01,business and management,17,business and management
100744,dietetics,02-06-02,nutrition and dietetics,02-06,allied health,02,subjects allied to medicine
100746,clinical practice nursing,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100747,medical nursing,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100748,cardiology,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
100749,paramedic science,02-06-01,health sciences (non-specific),02-06,allied health,02,subjects allied to medicine
100750,physician associate studies,02-06-01,health sciences (non-specific),02-06,allied health,02,subjects allied to medicine
100751,information modelling,11-01-03,information systems,11-01,computing,11,computing
100753,systems analysis and design,11-01-03,information systems,11-01,computing,11,computing
100754,databases,11-01-03,information systems,11-01,computing,11,computing
100755,data management,11-01-03,information systems,11-01,computing,11,computing
100756,systems auditing,11-01-03,information systems,11-01,computing,11,computing
100757,intelligent systems,11-01-03,information systems,11-01,computing,11,computing
100758,British history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100759,Irish history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100760,Welsh history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100761,English history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100762,European history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100763,German history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100764,Italian history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100765,Iberian studies,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
100766,Russian history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100767,American history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100768,USA history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100769,Latin American history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100771,Chinese history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100772,South Asian history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100773,South East Asian history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100774,Byzantine studies,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100777,world history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100778,international history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100779,family history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100780,history of religions,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100781,intellectual history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100782,history of architecture,20-01-02,"history of art, architecture and design",20-01,history and archaeology,20,"historical, philosophical and religious studies"
100783,history of design,20-01-02,"history of art, architecture and design",20-01,history and archaeology,20,"historical, philosophical and religious studies"
100784,history of mathematics,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100785,history of medicine,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100786,military history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100787,Egyptology,20-01-03,archaeology,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100791,mental philosophy,20-02-01,philosophy,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100792,social philosophy,20-02-01,philosophy,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100793,ethics,20-02-01,philosophy,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100794,theology and religious studies,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100795,Christian studies,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100796,Islamic studies,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100797,Judaism,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100798,buddhism,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100799,divinity,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100800,religious writings,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100801,biblical studies,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100802,pastoral studies,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100803,comparative religious studies,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100805,heritage studies,20-01-04,heritage studies,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100807,heritage management,20-01-04,heritage studies,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100808,European business studies,17-01-02,business studies,17-01,business and management,17,business and management
100810,strategic management,17-01-04,management studies,17-01,business and management,17,business and management
100811,creative management,17-01-04,management studies,17-01,business and management,17,business and management
100812,project management,17-01-04,management studies,17-01,business and management,17,business and management
100813,change management,17-01-04,management studies,17-01,business and management,17,business and management
100814,organisational development,17-01-04,management studies,17-01,business and management,17,business and management
100815,institutional management,17-01-04,management studies,17-01,business and management,17,business and management
100817,management and organisation of education,17-01-04,management studies,17-01,business and management,17,business and management
100819,land management,17-01-04,management studies,17-01,business and management,17,business and management
100820,property management,17-01-04,management studies,17-01,business and management,17,business and management
100821,requirements engineering,11-01-04,software engineering,11-01,computing,11,computing
100822,cell biology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100823,emergency and disaster management,17-01-04,management studies,17-01,business and management,17,business and management
100825,property valuation and auctioneering,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100826,parasitology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100827,banking,17-01-07,finance,17-01,business and management,17,business and management
100828,investment,17-01-07,finance,17-01,business and management,17,business and management
100829,behavioural biology,03-01-06,zoology,03-01,biosciences,03,biological and sport sciences
100830,insurance,17-01-07,finance,17-01,business and management,17,business and management
100831,taxation,17-01-07,finance,17-01,business and management,17,business and management
100832,financial management,17-01-07,finance,17-01,business and management,17,business and management
100834,developmental biology,03-01-06,zoology,03-01,biosciences,03,biological and sport sciences
100835,financial risk,17-01-07,finance,17-01,business and management,17,business and management
100836,management accountancy,17-01-08,accounting,17-01,business and management,17,business and management
100837,public accountancy,17-01-08,accounting,17-01,business and management,17,business and management
100838,book-keeping,17-01-08,accounting,17-01,business and management,17,business and management
100840,audit management,17-01-08,accounting,17-01,business and management,17,business and management
100841,popular music,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100842,film music and screen music,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100843,jazz,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100844,sacred music,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100845,financial reporting,17-01-08,accounting,17-01,business and management,17,business and management
100846,market research,17-01-03,marketing,17-01,business and management,17,business and management
100847,reproductive biology,03-01-10,others in biosciences,03-01,biosciences,03,biological and sport sciences
100848,aquatic biology,03-01-03,ecology and environmental biology,03-01,biosciences,03,biological and sport sciences
100849,freshwater biology,03-01-03,ecology and environmental biology,03-01,biosciences,03,biological and sport sciences
100850,population biology,03-01-03,ecology and environmental biology,03-01,biosciences,03,biological and sport sciences
100851,sales management,17-01-03,marketing,17-01,business and management,17,business and management
100853,international marketing,17-01-03,marketing,17-01,business and management,17,business and management
100854,community music,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100855,promotion and advertising,17-01-03,marketing,17-01,business and management,17,business and management
100856,corporate image,17-01-03,marketing,17-01,business and management,17,business and management
100858,evolution,03-01-10,others in biosciences,03-01,biosciences,03,biological and sport sciences
100861,staff development,17-01-05,human resource management,17-01,business and management,17,business and management
100862,sonic arts,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100864,ecosystem ecology and land use,03-01-03,ecology and environmental biology,03-01,biosciences,03,biological and sport sciences
100865,biometry,03-01-10,others in biosciences,03-01,biosciences,03,biological and sport sciences
100866,health and safety management,17-01-05,human resource management,17-01,business and management,17,business and management
100867,electronic music,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100868,office administration,17-01-09,others in business and management,17-01,business and management,17,business and management
100869,bioinformatics,11-01-03,information systems,11-01,computing,11,computing
100870,jazz composition,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100872,mycology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100873,plant cell science,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100874,plant pathology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100875,tourism,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100880,applied zoology,03-01-06,zoology,03-01,biosciences,03,biological and sport sciences
100881,cell zoology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100882,entomology,03-01-06,zoology,03-01,biosciences,03,biological and sport sciences
100883,marine zoology,03-01-06,zoology,03-01,biosciences,03,biological and sport sciences
100884,pest management,06-01-02,agricultural sciences,06-01,"agriculture, food and related studies",06,"agriculture, food and related studies"
100885,ballet,25-02-04,dance,25-02,performing arts,25,"design, and creative and performing arts"
100886,contemporary dance,25-02-04,dance,25-02,performing arts,25,"design, and creative and performing arts"
100887,moving image techniques,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100888,film directing,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100890,film and sound recording,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100891,hospitality,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100893,recreation and leisure studies,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100894,spa management,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100895,crafts,25-01-05,others in creative arts and design,25-01,creative arts and design,25,"design, and creative and performing arts"
100896,salon management,17-01-04,management studies,17-01,business and management,17,business and management
100898,human genetics,03-01-07,genetics,03-01,biosciences,03,biological and sport sciences
100899,medical genetics,03-01-07,genetics,03-01,biosciences,03,biological and sport sciences
100900,molecular genetics,03-01-07,genetics,03-01,biosciences,03,biological and sport sciences
100901,genomics,03-01-07,genetics,03-01,biosciences,03,biological and sport sciences
100902,population genetics,03-01-07,genetics,03-01,biosciences,03,biological and sport sciences
100906,applied microbiology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100907,medical microbiology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100908,veterinary microbiology,05-01-02,others in veterinary sciences,05-01,veterinary sciences,05,veterinary sciences
100909,bacteriology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100910,virology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100911,immunology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100912,blood sciences,02-05-03,biomedical sciences (non-specific),02-05,medical sciences,02,subjects allied to medicine
100913,librarianship,24-01-01,information services,24-01,"media, journalism and communications",24,"media, journalism and communications"
100914,curatorial studies,24-01-01,information services,24-01,"media, journalism and communications",24,"media, journalism and communications"
100915,archives and records management,24-01-01,information services,24-01,"media, journalism and communications",24,"media, journalism and communications"
100916,information services,24-01-01,information services,24-01,"media, journalism and communications",24,"media, journalism and communications"
